ingredient,fdc_id,description,Protein,Total lipid (fat),"Fatty acids, total saturated",Cholesterol,"Carbohydrate, by difference","Sodium, Na","Fiber, total dietary","Sugars, added","Vitamin A, RAE","Vitamin C, total ascorbic acid","Calcium, Ca","Iron, Fe",Vitamin D (D2 + D3),Vitamin E (alpha-tocopherol),Vitamin K (phylloquinone),Thiamin,Riboflavin,Niacin,Vitamin B-6,"Folate, DFE",Vitamin B-12,Biotin,Pantothenic acid,"Phosphorus, P","Iodine, I","Magnesium, Mg","Zinc, Zn","Selenium, Se","Copper, Cu","Manganese, Mn","Chromium, Cr","Molybdenum, Mo","Chloride, Cl","Potassium, K","Choline, total"
almond,2346393,"Nuts, almonds, whole, raw",42.9,65.5,18.93,0.0,7.29,0.0,38.5,0.0,0,0.0,19.51,20.78,0,0.0,0,13.38,0.0,23.56,5.93,0,0,0,0.0,40.23,0,61.33,26.05,0,101.16,93.43,0,0,0,15.59,0.0
amaretto,2710623,Liqueur,0.0,0.14,0.0,0.0,12.07,0.04,0.0,0.0,0,0.0,0.0,0.22,0,0.0,0,0.33,0.69,0.05,0.06,0,0,0,0.0,0.24,0,0.0,0.27,0,1.78,0.0,0,0,0,0.04,0.0
anchovy,2706232,"Fish, anchovy",57.8,12.45,11.0,28.33,0.0,159.57,0.0,0.0,0,0.0,17.85,25.72,0,22.2,0,6.5,27.92,124.37,11.94,0,0,0,0.0,20.16,0,16.43,22.18,0,37.67,0.0,0,0,0,11.57,15.45
anise,171316,"Spices, anise seed",35.2,20.38,2.93,0.0,18.19,0.7,52.14,0.0,0,23.33,49.69,205.33,0,0.0,0,28.33,22.31,19.12,38.24,0,0,0,15.94,35.2,0,40.48,48.18,0,101.11,100.0,0,0,0,30.66,0.0
apple,2709215,"Apple, raw",0.34,0.19,0.14,0.0,5.38,0.0,7.5,0.0,0,5.11,0.38,0.17,0,1.2,0,0.83,5.38,0.57,1.76,0,0,0,0.0,0.72,0,1.19,0.18,0,3.33,0.0,0,0,0,2.21,0.62
apple juice,2709320,"Apple juice, 100%",0.18,0.32,0.11,0.0,4.11,0.22,0.71,0.0,0,42.89,0.54,0.33,0,0.07,0,0.42,1.31,0.16,0.88,0,0,0,0.0,0.48,0,1.19,0.0,0,0.56,0.0,0,0,0,2.06,0.33
apricot,2709221,"Apricot, raw",2.8,0.5,0.14,0.0,4.04,0.04,7.14,0.0,0,11.11,1.0,2.17,0,5.93,0,2.5,3.08,3.75,3.18,0,0,0,0.0,1.84,0,2.38,1.82,0,8.67,0.0,0,0,0,5.51,0.51
artichoke,169205,"Artichokes, (globe or french), raw",6.54,0.19,0.18,0.0,3.82,4.09,19.29,0.0,0,13.0,3.38,7.11,0,1.27,0,6.0,5.08,6.54,6.82,0,0,0,6.76,7.2,0,14.29,4.45,0,25.67,11.13,0,0,0,7.87,6.25
arugula,169387,"Arugula, raw",5.16,0.85,0.43,0.0,1.33,1.17,5.71,0.0,0,16.67,12.31,8.11,0,2.87,0,3.67,6.62,1.91,4.29,0,0,0,8.74,4.16,0,11.19,4.27,0,8.44,13.96,0,0,0,7.85,2.78
asian pear,168177,"Pears, asian, raw",1.0,0.29,0.06,0.0,3.87,0.0,12.86,0.0,0,4.22,0.31,0.0,0,0.8,0,0.75,0.77,1.37,1.29,0,0,0,1.4,0.88,0,1.9,0.18,0,5.56,2.61,0,0,0,2.57,0.93
asparagus,168389,"Asparagus, raw",4.4,0.15,0.2,0.0,1.41,0.09,7.5,0.0,0,6.22,1.85,11.89,0,7.53,0,11.92,10.85,6.11,5.35,0,0,0,5.48,4.16,0,3.33,4.91,0,21.0,6.87,0,0,0,4.3,2.91
avocado,2710824,"Avocado, Hass, peeled, raw",3.62,26.04,0.0,0.0,3.03,0.0,0.0,0.0,0,0.0,1.11,3.41,0,0.0,0,0.0,0.0,0.0,9.85,0,0,0,0.0,3.39,0,7.81,4.18,0,31.66,8.55,0,0,0,12.26,0.0
bacon,172439,"Bacon, meatless",23.38,37.85,23.11,0.0,1.93,63.7,9.29,0.0,0,0.0,1.77,13.39,0,46.0,0,366.67,37.0,47.25,28.18,0,0,0,2.26,5.6,0,4.52,3.82,0,11.67,8.91,0,0,0,3.62,8.18
banana,173944,"Bananas, raw",2.18,0.42,0.56,0.0,8.31,0.04,9.29,0.0,0,9.67,0.38,1.44,0,0.67,0,2.58,5.62,4.16,21.59,0,0,0,6.68,1.76,0,6.43,1.36,0,8.67,11.74,0,0,0,7.62,1.78
